Stichdatum;PLZ;Geschlecht;Nachname;Anzahl;Rang;ORTBEZ18
2022-07-01;8630;m;Weber;34;5;Rüti ZH
2022-07-01;8632;w;Rüegg;13;3;Tann
2022-07-01;8632;m;Weber;19;2;Tann
2022-07-01;8632;m;Meier;15;4;Tann
2022-07-01;8633;w;Keller;22;1;Wolfhausen
2022-07-01;8633;w;Bachmann;13;5;Wolfhausen
2022-07-01;8633;m;Meier;17;4;Wolfhausen
2022-07-01;8633;m;Weber;17;4;Wolfhausen
2022-07-01;8634;w;Egli;33;5;Hombrechtikon
2022-07-01;8634;m;Müller;57;1;Hombrechtikon
2022-07-01;8634;m;Keller;41;2;Hombrechtikon
2022-07-01;8635;w;Weber;22;2;Dürnten
2022-07-01;8635;w;Honegger;20;3;Dürnten
2022-07-01;8635;m;Meier;14;4;Dürnten
2022-07-01;8636;w;Kunz;41;2;Wald ZH
2022-07-01;8636;w;Keller;32;3;Wald ZH
2022-07-01;8636;w;Müller;28;4;Wald ZH
2022-07-01;8636;m;Kunz;43;2;Wald ZH
2022-07-01;8636;m;Brunner;28;3;Wald ZH
2022-07-01;8636;m;Oberholzer;27;4;Wald ZH
2022-07-01;8637;w;Blöchlinger;13;1;Laupen ZH
2022-07-01;8637;w;Müller;10;2;Laupen ZH
2022-07-01;8637;w;Marchese;8;5;Laupen ZH
2022-07-01;8637;m;Rüegg;12;1;Laupen ZH
2022-07-01;8637;m;Brunner;11;3;Laupen ZH
2022-07-01;8637;m;Keller;8;5;Laupen ZH
2022-07-01;8638;w;Rüegg;26;2;Goldingen
2022-07-01;8638;w;Gübeli;17;4;Goldingen
2022-07-01;8638;m;Blöchlinger;48;1;Goldingen
2022-07-01;8638;m;Oberholzer;28;2;Goldingen
2022-07-01;8638;m;Gübeli;23;5;Goldingen
2022-07-01;8640;w;Müller;35;2;Rapperswil SG/Hurden
2022-07-01;8640;w;Meier;24;3;Rapperswil SG/Hurden
2022-07-01;8640;w;Weber;22;4;Rapperswil SG/Hurden
2022-07-01;8640;m;Rüegg;39;1;Rapperswil SG/Hurden
2022-07-01;8640;m;Keller;30;2;Rapperswil SG/Hurden
2022-07-01;8645;w;Müller;87;1;Jona
2022-07-01;8646;w;n/a;5;5;Wagen
2022-07-01;8646;m;Helbling;13;1;Wagen
2022-07-01;8646;m;Mürner;7;5;Wagen
2022-07-01;8700;w;Meier;36;3;Küsnacht ZH
2022-07-01;8700;w;Weber;32;4;Küsnacht ZH
2022-07-01;8700;w;Schmid;32;4;Küsnacht ZH
2022-07-01;8700;m;Müller;71;1;Küsnacht ZH
2022-07-01;8700;m;Meyer;38;3;Küsnacht ZH
2022-07-01;8700;m;Schmid;27;5;Küsnacht ZH
2022-07-01;8703;m;Müller;35;1;Erlenbach ZH
2022-07-01;8703;m;Meier;26;2;Erlenbach ZH
2022-07-01;8703;m;Meyer;15;3;Erlenbach ZH
2022-07-01;8703;m;Weber;15;3;Erlenbach ZH
2022-07-01;8703;m;Grimm;12;5;Erlenbach ZH
2022-07-01;8704;w;Meier;16;3;Herrliberg
2022-07-01;8704;m;Keller;31;1;Herrliberg
2022-07-01;8704;m;Müller;26;2;Herrliberg
2022-07-01;8704;m;Meier;22;3;Herrliberg
2022-07-01;8706;w;Schmid;42;3;Meilen
2022-07-01;8706;m;Meier;45;3;Meilen
2022-07-01;8706;m;Frei;36;4;Meilen
2022-07-01;8707;m;Müller;31;1;Uetikon am See
2022-07-01;8707;m;Frei;19;4;Uetikon am See
2022-07-01;8708;w;Müller;54;2;Männedorf
2022-07-01;8708;w;Keller;35;4;Männedorf
2022-07-01;8708;w;Huber;32;5;Männedorf
2022-07-01;8708;m;Meier;37;4;Männedorf
2022-07-01;8712;w;Müller;56;1;Stäfa
2022-07-01;8712;w;Meier;35;2;Stäfa
2022-07-01;8712;m;Schmid;27;5;Stäfa
2022-07-01;8713;w;Müller;27;1;Uerikon
2022-07-01;8713;w;Frei;9;4;Uerikon
2022-07-01;8713;m;Meier;16;2;Uerikon
2022-07-01;8714;w;n/a;4;2;Feldbach
2022-07-01;8715;m;n/a;5;1;Bollingen
2022-07-01;8716;w;Müller;75;1;Schmerikon
2022-07-01;8716;w;Oberholzer;18;5;Schmerikon
2022-07-01;8716;m;Müller;72;1;Schmerikon
2022-07-01;8716;m;Kuster;43;2;Schmerikon
2022-07-01;8717;m;Jud;42;4;Benken SG
2022-07-01;8717;m;Steiner;42;4;Benken SG
2022-07-01;8718;w;Seliner;32;3;Schänis
2022-07-01;8718;w;Tremp;27;4;Schänis
2022-07-01;8718;m;Steiner;59;1;Schänis
2022-07-01;8718;m;Jud;53;2;Schänis
2022-07-01;8718;m;Seliner;34;3;Schänis
2022-07-01;8718;m;Zweifel;25;5;Schänis
2022-07-01;8722;w;Zahner;71;2;Kaltbrunn
2022-07-01;8722;w;Rüegg;53;4;Kaltbrunn
2022-07-01;8722;m;Jud;68;2;Kaltbrunn
2022-07-01;8722;m;Thoma;45;5;Kaltbrunn
2022-07-01;8723;w;Jud;67;1;Rufi/Maseltrangen
2022-07-01;8723;w;Fischli;13;3;Rufi/Maseltrangen
2022-07-01;8723;w;Steiner;11;4;Rufi/Maseltrangen
2022-07-01;8723;w;Egli;10;5;Rufi/Maseltrangen
2022-07-01;8723;m;Zweifel;19;2;Rufi/Maseltrangen
2022-07-01;8723;m;Zahner;12;4;Rufi/Maseltrangen
2022-07-01;8725;w;Müller;11;2;Gebertingen/Ernetschwil
2022-07-01;8726;w;Rüegg;17;1;Ricken SG
2022-07-01;8726;w;Ruoss;8;2;Ricken SG
2022-07-01;8726;w;Raymann;7;3;Ricken SG
2022-07-01;8726;w;n/a;5;5;Ricken SG
2022-07-01;8726;m;Elmer;11;3;Ricken SG
2022-07-01;8726;m;Britt;6;5;Ricken SG
2022-07-01;8727;w;Rüegg;19;1;Walde SG
2022-07-01;8727;w;Raymann;6;5;Walde SG
2022-07-01;8727;m;Rüegg;18;1;Walde SG
2022-07-01;8727;m;Oberholzer;11;2;Walde SG
2022-07-01;8727;m;Artho;11;2;Walde SG
2022-07-01;8730;w;Jud;46;2;Uznach
2022-07-01;8730;w;Rüegg;28;4;Uznach
2022-07-01;8732;w;Rüegg;19;1;Neuhaus SG
2022-07-01;8732;w;Schmucki;9;4;Neuhaus SG
2022-07-01;8732;w;Arnold;9;4;Neuhaus SG
2022-07-01;8732;m;Rüegg;19;1;Neuhaus SG
2022-07-01;8732;m;Blöchlinger;12;4;Neuhaus SG
2022-07-01;8732;m;Schmucki;9;5;Neuhaus SG
2022-07-01;8732;m;Schmuki;9;5;Neuhaus SG
2022-07-01;8733;w;Oberholzer;37;3;Eschenbach SG
2022-07-01;8733;w;Müller;36;4;Eschenbach SG
2022-07-01;8733;m;Keller;29;4;Eschenbach SG
2022-07-01;8733;m;Müller;28;5;Eschenbach SG
2022-07-01;8734;w;Helbling;6;3;Ermenswil
2022-07-01;8735;m;Rüegg;44;1;Rüeterswil/St. Gallenkappel
2022-07-01;8735;m;Hofstetter;17;5;Rüeterswil/St. Gallenkappel
2022-07-01;8735;m;Schmucki;17;5;Rüeterswil/St. Gallenkappel
2022-07-01;8737;w;Bernet;27;2;Gommiswald
2022-07-01;8737;w;Rüegg;22;3;Gommiswald
2022-07-01;8737;m;Bernet;32;2;Gommiswald
2022-07-01;8737;m;Steiner;16;5;Gommiswald
2022-07-01;8737;m;Rüegg;16;5;Gommiswald
2022-07-01;8738;w;Kaufmann;22;1;Uetliburg SG
2022-07-01;8738;w;Rüegg;11;4;Uetliburg SG
2022-07-01;8738;w;Jud;9;5;Uetliburg SG
2022-07-01;8738;m;Kaufmann;29;1;Uetliburg SG
2022-07-01;8738;m;Jud;11;3;Uetliburg SG
2022-07-01;8738;m;Müller;11;3;Uetliburg SG
2022-07-01;8738;m;Sutter;9;5;Uetliburg SG
2022-07-01;8739;w;Kühne;9;5;Rieden SG
2022-07-01;8739;m;Jud;14;3;Rieden SG
2022-07-01;8750;w;Weber;37;4;Glarus/Riedern/Klöntal
2022-07-01;8750;m;Müller;50;2;Glarus/Riedern/Klöntal
2022-07-01;8750;m;Hösli;40;5;Glarus/Riedern/Klöntal
2022-07-01;8751;w;Gisler;10;1;Urnerboden
2022-07-01;8751;m;Herger;7;3;Urnerboden
2022-07-01;8752;w;Landolt;150;1;Näfels
2022-07-01;8752;w;Müller;68;3;Näfels
2022-07-01;8752;m;Hauser;84;4;Näfels
2022-07-01;8753;w;Fischli;24;4;Mollis
2022-07-01;8753;m;Fischli;36;2;Mollis
2022-07-01;8753;m;Beglinger;31;3;Mollis
2022-07-01;8754;w;Leuzinger;30;2;Netstal
2022-07-01;8754;w;Schnyder;22;3;Netstal
2022-07-01;8754;w;Jenny;16;5;Netstal
2022-07-01;8754;m;Weber;45;1;Netstal
2022-07-01;8754;m;Schnyder;29;3;Netstal
2022-07-01;8754;m;Kubli;17;4;Netstal
2022-07-01;8755;w;Hefti;49;1;Ennenda
2022-07-01;8755;w;Rhyner;21;5;Ennenda
2022-07-01;8755;m;Hefti;41;2;Ennenda
2022-07-01;8756;w;Zeqiri;16;1;Mitlödi
2022-07-01;8756;w;Rhyner;9;5;Mitlödi
2022-07-01;8756;m;Wolf;11;3;Mitlödi
2022-07-01;8756;m;Russo;10;5;Mitlödi
2022-07-01;8757;w;Wuermli;6;3;Filzbach
2022-07-01;8758;w;Menzi;16;2;Obstalden
2022-07-01;8758;w;Zwicky;9;5;Obstalden
2022-07-01;8758;m;Rohr;11;5;Obstalden
2022-07-01;8762;w;Hefti;35;4;Schwändi GL/Sool/Schwanden GL
2022-07-01;8762;m;Zopfi;27;4;Schwändi GL/Sool/Schwanden GL
2022-07-01;8765;w;Marti;33;1;Engi
2022-07-01;8765;m;Rhyner;13;3;Engi
2022-07-01;8765;m;Hämmerli;9;4;Engi
2022-07-01;8766;w;Zimmermann;7;4;Matt
2022-07-01;8766;m;Stauffacher;9;4;Matt
2022-07-01;8767;w;Schneider;16;4;Elm
2022-07-01;8767;m;Zentner;18;3;Elm
2022-07-01;8772;w;Hefti;8;2;Nidfurn
2022-07-01;8773;m;Luchsinger;9;2;Haslen GL
2022-07-01;8773;m;Aschwanden;7;4;Haslen GL
2022-07-01;8774;w;n/a;5;2;Leuggelbach
2022-07-01;8775;m;Pangring;11;3;Hätzingen/Luchsingen
2022-07-01;8777;m;n/a;5;4;Diesbach GL/Betschwanden
2022-07-01;8782;w;Tresch;8;1;Rüti GL
2022-07-01;8782;m;Tresch;12;1;Rüti GL
2022-07-01;8782;m;Herger;7;3;Rüti GL
2022-07-01;8784;w;Gamp;6;4;Braunwald
2022-07-01;8784;m;Aschwanden;8;2;Braunwald
2022-07-01;8784;m;Gisler;6;3;Braunwald
2022-07-01;8784;m;Streiff;6;3;Braunwald
2022-07-01;8784;m;Schnyder;6;3;Braunwald
2022-07-01;8784;m;Kessler;6;3;Braunwald
2022-07-01;8784;m;Winkler;6;3;Braunwald
2022-07-01;8800;m;Meier;38;2;Thalwil
2022-07-01;8802;w;Keller;33;2;Kilchberg ZH
2022-07-01;8802;m;Keller;25;2;Kilchberg ZH
2022-07-01;8802;m;Meier;24;3;Kilchberg ZH
2022-07-01;8802;m;Widmer;19;5;Kilchberg ZH
2022-07-01;8803;w;Müller;18;2;Rüschlikon
2022-07-01;8803;w;Huber;14;5;Rüschlikon
2022-07-01;8804;w;Müller;25;1;Au ZH
2022-07-01;8804;w;Huber;15;4;Au ZH
2022-07-01;8804;w;Schmid;14;5;Au ZH
2022-07-01;8804;m;Schneider;15;4;Au ZH
2022-07-01;8805;w;Meier;29;5;Richterswil
2022-07-01;8805;m;Müller;46;1;Richterswil
2022-07-01;8806;m;Höfliger;12;4;Bäch SZ
2022-07-01;8806;m;Weber;10;5;Bäch SZ
2022-07-01;8807;w;Schuler;14;3;Freienbach
2022-07-01;8807;m;Steiner;15;5;Freienbach
2022-07-01;8808;w;Feusi;42;1;Pfäffikon SZ
2022-07-01;8808;m;Kälin;33;4;Pfäffikon SZ
2022-07-01;8810;w;Huber;44;4;Horgen
2022-07-01;8810;w;Baumann;41;5;Horgen
2022-07-01;8810;m;Meier;40;5;Horgen
2022-07-01;8815;w;n/a;5;4;Horgenberg
2022-07-01;8815;w;n/a;4;5;Horgenberg
2022-07-01;8815;m;Baumann;18;1;Horgenberg
2022-07-01;8815;m;Streuli;13;2;Horgenberg
2022-07-01;8815;m;Sigrist;7;3;Horgenberg
2022-07-01;8815;m;n/a;4;4;Horgenberg
2022-07-01;8816;w;Huber;14;2;Hirzel
2022-07-01;8816;w;Bachmann;14;2;Hirzel
2022-07-01;8816;w;Hitz;14;2;Hirzel
2022-07-01;8816;w;Leuthold;14;2;Hirzel
2022-07-01;8816;m;Leuthold;17;2;Hirzel
2022-07-01;8816;m;Bürgler;15;3;Hirzel
2022-07-01;8816;m;Huber;15;3;Hirzel
2022-07-01;8820;w;Müller;73;1;Wädenswil
2022-07-01;8820;w;Bachmann;47;3;Wädenswil
2022-07-01;8820;w;Keller;42;5;Wädenswil
2022-07-01;8820;m;Müller;65;2;Wädenswil
2022-07-01;8820;m;Keller;41;5;Wädenswil
2022-07-01;8824;w;Hauser;22;2;Schönenberg ZH
2022-07-01;8824;w;Marty;19;3;Schönenberg ZH
2022-07-01;8824;w;Kälin;18;4;Schönenberg ZH
2022-07-01;8824;m;Kälin;24;1;Schönenberg ZH
2022-07-01;8825;w;Hauser;14;1;Hütten
2022-07-01;8825;w;Staub;9;4;Hütten
2022-07-01;8825;w;Betschart;9;4;Hütten
2022-07-01;8832;w;Müller;77;1;Wilen b. Wollerau/Wollerau
2022-07-01;8832;w;Kälin;56;2;Wilen b. Wollerau/Wollerau
2022-07-01;8832;m;Müller;97;1;Wilen b. Wollerau/Wollerau
2022-07-01;8832;m;Kälin;51;4;Wilen b. Wollerau/Wollerau
2022-07-01;8833;w;Tanner;21;1;Samstagern
2022-07-01;8833;w;Kälin;19;2;Samstagern
2022-07-01;8833;w;Steiner;13;5;Samstagern
2022-07-01;8833;m;Tanner;34;1;Samstagern
2022-07-01;8833;m;Müller;22;3;Samstagern
2022-07-01;8834;w;Theiler;18;4;Schindellegi
2022-07-01;8834;m;Kälin;35;1;Schindellegi
2022-07-01;8834;m;Müller;27;2;Schindellegi
2022-07-01;8834;m;Grab;18;5;Schindellegi
2022-07-01;8835;w;Schuler;16;1;Feusisberg
2022-07-01;8835;w;Föllmi;15;2;Feusisberg
2022-07-01;8835;w;Müller;14;3;Feusisberg
2022-07-01;8835;w;Kälin;11;5;Feusisberg
2022-07-01;8835;m;Fuchs;17;2;Feusisberg
2022-07-01;8836;w;Kälin;81;1;Bennau
2022-07-01;8836;w;Bisig;15;3;Bennau
2022-07-01;8836;m;Zehnder;54;2;Bennau
2022-07-01;8836;m;Fässler;16;4;Bennau
2022-07-01;8840;w;Ochsner;92;4;Trachslau/Einsiedeln
2022-07-01;8840;m;Birchler;152;3;Trachslau/Einsiedeln
2022-07-01;8841;w;Steinauer;11;4;Gross
2022-07-01;8841;w;Fässler;10;5;Gross
2022-07-01;8841;m;Füchslin;21;2;Gross
2022-07-01;8841;m;Ulrich;11;5;Gross
2022-07-01;8841;m;Gyr;11;5;Gross
2022-07-01;8842;w;Marty;135;1;Unteriberg
2022-07-01;8842;w;Fässler;70;2;Unteriberg
2022-07-01;8843;w;Reichmuth;55;1;Oberiberg
2022-07-01;8843;w;Holdener;47;2;Oberiberg
2022-07-01;8843;w;Marty;30;3;Oberiberg
2022-07-01;8843;w;Schuler;13;4;Oberiberg
2022-07-01;8844;w;Kälin;102;1;Euthal
2022-07-01;8845;w;Fässler;19;1;Studen SZ
2022-07-01;8846;w;Kälin;56;1;Willerzell
2022-07-01;8846;m;Ochsner;15;5;Willerzell
2022-07-01;8847;w;Schönbächler;13;4;Egg SZ
2022-07-01;8849;w;Schuler;13;3;Alpthal
2022-07-01;8849;m;Steiner;55;1;Alpthal
2022-07-01;8849;m;Schuler;19;2;Alpthal
2022-07-01;8852;w;Knobel;73;3;Altendorf
2022-07-01;8852;m;Knobel;82;2;Altendorf
2022-07-01;8853;w;Marty;49;3;Lachen SZ
2022-07-01;8853;w;Stählin;34;5;Lachen SZ
2022-07-01;8854;m;Diethelm;148;1;Galgenen/Siebnen
2022-07-01;8856;m;Mächler;36;4;Tuggen
2022-07-01;8857;m;Schnyder;73;2;Vorderthal
2022-07-01;8858;m;Mächler;31;1;Innerthal
2022-07-01;8862;w;Diethelm;29;3;Schübelbach
2022-07-01;8862;m;Züger;31;4;Schübelbach
2022-07-01;8863;w;Ruoss;90;1;Buttikon SZ
2022-07-01;8863;w;Steiner;15;5;Buttikon SZ
2022-07-01;8863;m;Bruhin;24;2;Buttikon SZ
2022-07-01;8863;m;Züger;15;3;Buttikon SZ
2022-07-01;8864;w;Keller;14;5;Reichenburg
2022-07-01;8864;m;Diethelm;25;4;Reichenburg
2022-07-01;8865;w;Lienhard;13;2;Bilten
2022-07-01;8865;m;Schmid;15;3;Bilten
2022-07-01;8865;m;Staub;12;5;Bilten
2022-07-01;8866;w;n/a;4;3;Ziegelbrücke
2022-07-01;8866;m;n/a;5;2;Ziegelbrücke
2022-07-01;8866;m;n/a;4;5;Ziegelbrücke
2022-07-01;8867;w;Boshtraj;18;5;Niederurnen
2022-07-01;7428;w;n/a;4;5;Tschappina
2022-07-01;7428;m;Allemann;6;4;Tschappina
2022-07-01;7430;m;Conrad;17;1;Rongellen/Thusis
2022-07-01;7431;w;Wyss;10;1;Obermutten/Mutten
2022-07-01;7432;w;Mani;7;2;Zillis
2022-07-01;7432;m;Riedhauser;9;3;Zillis
2022-07-01;7435;w;Mengelt;15;1;Splügen
2022-07-01;7435;w;Camastral;8;2;Splügen
2022-07-01;7435;m;Rüedi;8;2;Splügen
2022-07-01;7435;m;Catrina;8;2;Splügen
2022-07-01;7436;w;n/a;4;2;Medels
2022-07-01;7436;m;n/a;3;2;Medels
2022-07-01;7437;w;Trepp;16;1;Nufenen
2022-07-01;7437;w;Meuli;12;2;Nufenen
2022-07-01;7437;m;Trepp;16;2;Nufenen
2022-07-01;7438;m;n/a;4;5;Hinterrhein
2022-07-01;7440;m;Mani;16;1;Andeer
2022-07-01;7440;m;Demarmels;9;5;Andeer
2022-07-01;7440;m;Grischott;9;5;Andeer
2022-07-01;7443;m;n/a;4;4;Pignia
2022-07-01;7447;w;Höllrigl;6;3;Avers
2022-07-01;7447;m;Heinz;12;1;Avers
2022-07-01;7450;m;Cola;8;4;Tiefencastel
2022-07-01;7451;w;Projer;6;3;Alvaschein
2022-07-01;7451;m;Wasescha;7;2;Alvaschein
2022-07-01;7452;w;Uffer;6;3;Cunter
2022-07-01;7452;m;Thomann;7;2;Cunter
2022-07-01;7453;w;Dosch;13;1;Tinizong
2022-07-01;7453;m;Dosch;16;1;Tinizong
2022-07-01;7454;w;Thomann;9;1;Rona
2022-07-01;7456;w;Cotti;9;1;Sur/Marmorera
2022-07-01;7456;w;Spinas;7;3;Sur/Marmorera
2022-07-01;7456;w;n/a;4;4;Sur/Marmorera
2022-07-01;7456;m;Poltera;8;2;Sur/Marmorera
2022-07-01;7458;w;n/a;5;2;Mon
2022-07-01;7458;m;n/a;5;2;Mon
2022-07-01;7459;m;Farrer;28;1;Stierva
2022-07-01;7460;w;Guetg;22;3;Savognin
2022-07-01;7462;w;Baltermia;8;3;Salouf
2022-07-01;7462;m;n/a;4;4;Salouf
2022-07-01;7463;m;Carisch;28;2;Riom
2022-07-01;7463;m;Janutin;13;4;Riom
2022-07-01;7463;m;Camen;10;5;Riom
2022-07-01;7464;w;Bellini;8;2;Parsonz
2022-07-01;7464;m;Stgier;8;4;Parsonz
2022-07-01;7472;w;Casutt;11;1;Surava
2022-07-01;7473;m;n/a;4;2;Alvaneu Bad
2022-07-01;7477;m;Barandun;10;2;Filisur
2022-07-01;7482;m;Innes;11;1;Preda/Stugl/Stuls/Bergün/Bravuogn
2022-07-01;7482;m;Bär;9;3;Preda/Stugl/Stuls/Bergün/Bravuogn
2022-07-01;7484;m;Schmid;10;1;Latsch
2022-07-01;7484;m;n/a;4;2;Latsch
2022-07-01;7492;w;Ardüser;9;2;Alvaneu Dorf
2022-07-01;7493;m;Brazerol;25;1;Schmitten (Albula)
2022-07-01;7493;m;Balzer;8;4;Schmitten (Albula)
2022-07-01;7494;w;Bernhard;11;1;Davos Wiesen
2022-07-01;7512;w;Picenoni;7;3;Champfèr
2022-07-01;7512;w;Jung;6;4;Champfèr
2022-07-01;7515;m;Courtin;6;1;Sils/Segl Baselgia
2022-07-01;7516;w;Croce;9;4;Maloja
2022-07-01;7516;m;Gassner;6;5;Maloja
2022-07-01;7522;w;Laudenbacher;18;2;La Punt Chamues-ch
2022-07-01;7522;m;Dieckhöfer;9;5;La Punt Chamues-ch
2022-07-01;7524;w;Wieser;13;3;Zuoz
2022-07-01;7524;w;Bott;11;4;Zuoz
2022-07-01;7524;m;Vital;11;4;Zuoz
2022-07-01;7525;w;Bott;6;4;S-chanf
2022-07-01;7526;m;n/a;4;3;Cinuos-chel/Chapella
2022-07-01;7530;m;Schorta;17;1;Zernez
2022-07-01;7530;m;Bezzola;15;2;Zernez
2022-07-01;7532;m;Pitsch;6;2;Tschierv
2022-07-01;7532;m;n/a;5;3;Tschierv
2022-07-01;7533;w;n/a;4;4;Fuldera
2022-07-01;7534;w;n/a;3;1;Lü
2022-07-01;7535;m;Melcher;6;3;Valchava
2022-07-01;7537;m;Oswald;19;5;Müstair
2022-07-01;7542;m;Thom;7;2;Susch
2022-07-01;7543;m;Bonifazi;7;1;Lavin
2022-07-01;7545;m;Viletta;7;2;Guarda
2022-07-01;7550;w;Taisch;12;3;Scuol
2022-07-01;7550;m;Stecher;24;1;Scuol
2022-07-01;7551;w;Peer;11;2;Ftan
2022-07-01;7551;m;à Porta;9;4;Ftan
2022-07-01;7553;w;Meyer;6;3;Tarasp
2022-07-01;7554;w;Benderer;23;1;Sent
2022-07-01;7554;m;Krebs;14;5;Sent
2022-07-01;7554;m;Pult;14;5;Sent
2022-07-01;7556;w;Mayer;12;2;Ramosch
2022-07-01;7556;w;Nef;9;3;Ramosch
2022-07-01;7556;m;Mayer;8;2;Ramosch
2022-07-01;7556;m;Koch;8;2;Ramosch
2022-07-01;7556;m;Näff;7;5;Ramosch
2022-07-01;7557;w;n/a;4;2;Vnà
2022-07-01;7560;m;n/a;2;5;Martina
2022-07-01;7562;w;Prinz;16;5;Samnaun-Compatsch
2022-07-01;7563;w;Hangl;15;4;Samnaun Dorf
2022-07-01;7563;m;Zegg;58;1;Samnaun Dorf
2022-07-01;7563;m;Jenal;41;2;Samnaun Dorf
2022-07-01;2565;m;n/a;4;5;Jens
2022-07-01;2572;w;Hofmann;26;1;Sutz/Mörigen
2022-07-01;2572;w;Schwab;17;2;Sutz/Mörigen
2022-07-01;2572;w;Blösch;14;3;Sutz/Mörigen
2022-07-01;2572;m;Gygax;16;4;Sutz/Mörigen
2022-07-01;2575;w;Dasen;25;1;Täuffelen/Hagneck/Gerolfingen
2022-07-01;2575;w;Laubscher;23;2;Täuffelen/Hagneck/Gerolfingen
2022-07-01;2575;w;Küffer;21;3;Täuffelen/Hagneck/Gerolfingen
2022-07-01;2575;w;Gerber;18;5;Täuffelen/Hagneck/Gerolfingen
2022-07-01;2575;m;Küffer;17;4;Täuffelen/Hagneck/Gerolfingen
2022-07-01;2576;w;Dubler;11;2;Lüscherz
