Stichdatum;PLZ;Geschlecht;Vorname;Anzahl;Rang;ORTBEZ18
2022-07-01;8342;m;Daniel;14;2;Wernetshausen
2022-07-01;8344;w;Monika;35;1;Bäretswil
2022-07-01;8344;w;Andrea;32;2;Bäretswil
2022-07-01;8344;w;Claudia;25;4;Bäretswil
2022-07-01;8344;m;Peter;67;1;Bäretswil
2022-07-01;8344;m;Daniel;52;2;Bäretswil
2022-07-01;8344;m;Thomas;44;3;Bäretswil
2022-07-01;8345;w;Esther;11;1;Adetswil
2022-07-01;8345;m;Peter;19;1;Adetswil
2022-07-01;8345;m;Markus;11;5;Adetswil
2022-07-01;8352;w;Nicole;22;5;Elsau/Ricketwil
2022-07-01;8352;w;Sandra;22;5;Elsau/Ricketwil
2022-07-01;8353;w;Monika;26;4;Elgg
2022-07-01;8353;m;Daniel;44;4;Elgg
2022-07-01;8354;w;n/a;5;2;Hofstetten ZH/Dickbuch
2022-07-01;8354;m;Matthias;7;4;Hofstetten ZH/Dickbuch
2022-07-01;8355;w;Maria;50;1;Aadorf
2022-07-01;8355;w;Ruth;40;3;Aadorf
2022-07-01;8355;m;Martin;48;4;Aadorf
2022-07-01;8356;w;Karin;12;3;Ettenhausen TG
2022-07-01;8356;w;Ursula;11;5;Ettenhausen TG
2022-07-01;8356;m;Thomas;18;1;Ettenhausen TG
2022-07-01;8357;w;Nicole;15;1;Guntershausen
2022-07-01;8360;w;Monika;27;5;Eschlikon TG/Wallenwil
2022-07-01;8360;m;Daniel;47;1;Eschlikon TG/Wallenwil
2022-07-01;8360;m;Andreas;46;2;Eschlikon TG/Wallenwil
2022-07-01;8362;w;Andrea;16;2;Balterswil
2022-07-01;8362;m;Markus;27;2;Balterswil
2022-07-01;8363;w;Claudia;10;1;Bichelsee
2022-07-01;8363;w;Brigitte;9;3;Bichelsee
2022-07-01;8363;w;Maria;8;5;Bichelsee
2022-07-01;8363;m;Marco;15;2;Bichelsee
2022-07-01;8363;m;Markus;13;4;Bichelsee
2022-07-01;8363;m;Stefan;13;4;Bichelsee
2022-07-01;8363;m;Andreas;13;4;Bichelsee
2022-07-01;8370;w;Claudia;42;2;Sirnach
2022-07-01;8370;m;Thomas;55;3;Sirnach
2022-07-01;8370;m;Andreas;53;4;Sirnach
2022-07-01;8370;m;Michael;46;5;Sirnach
2022-07-01;8371;w;Silvia;8;1;Busswil TG
2022-07-01;8371;w;Manuela;8;1;Busswil TG
2022-07-01;8371;w;Monika;8;1;Busswil TG
2022-07-01;8371;m;Daniel;17;1;Busswil TG
2022-07-01;8371;m;Thomas;12;2;Busswil TG
2022-07-01;8371;m;Josef;9;4;Busswil TG
2022-07-01;8372;w;Maria;10;1;Wiezikon b.Sirnach
2022-07-01;8372;w;Sandra;9;2;Wiezikon b.Sirnach
2022-07-01;8372;m;Peter;8;4;Wiezikon b.Sirnach
2022-07-01;8374;w;Monika;23;1;Oberwangen TG/Dussnang
2022-07-01;8374;w;Sabrina;19;3;Oberwangen TG/Dussnang
2022-07-01;8374;m;Andreas;25;2;Oberwangen TG/Dussnang
2022-07-01;8376;w;n/a;5;5;Au TG/Fischingen
2022-07-01;8376;m;Daniel;10;2;Au TG/Fischingen
2022-07-01;8376;m;Peter;7;3;Au TG/Fischingen
2022-07-01;8376;m;Franz;6;5;Au TG/Fischingen
2022-07-01;8400;w;Barbara;277;2;Winterthur
2022-07-01;8400;m;Daniel;423;2;Winterthur
2022-07-01;8400;m;Thomas;400;3;Winterthur
2022-07-01;8404;w;Maria;137;1;Reutlingen/Winterthur/Stadel(Winterthur)
2022-07-01;8404;w;Barbara;98;3;Reutlingen/Winterthur/Stadel(Winterthur)
2022-07-01;8404;w;Monika;97;4;Reutlingen/Winterthur/Stadel(Winterthur)
2022-07-01;8404;m;Daniel;163;3;Reutlingen/Winterthur/Stadel(Winterthur)
2022-07-01;8404;m;Andreas;150;5;Reutlingen/Winterthur/Stadel(Winterthur)
2022-07-01;8405;w;Ursula;137;1;Winterthur
2022-07-01;8405;w;Ruth;121;3;Winterthur
2022-07-01;8405;w;Barbara;98;5;Winterthur
2022-07-01;8405;m;Markus;132;3;Winterthur
2022-07-01;8405;m;Andreas;130;4;Winterthur
2022-07-01;8406;w;Maria;115;1;Winterthur
2022-07-01;8406;w;Claudia;51;3;Winterthur
2022-07-01;8406;m;Thomas;97;2;Winterthur
2022-07-01;8406;m;Peter;89;4;Winterthur
2022-07-01;8408;w;Maria;149;1;Winterthur
2022-07-01;8408;w;Sandra;89;3;Winterthur
2022-07-01;8408;m;Thomas;113;4;Winterthur
2022-07-01;8409;w;Susanne;16;4;Winterthur
2022-07-01;8409;w;Maria;16;4;Winterthur
2022-07-01;8409;m;Daniel;34;1;Winterthur
2022-07-01;8409;m;Michael;21;4;Winterthur
2022-07-01;8409;m;Markus;21;4;Winterthur
2022-07-01;8412;w;Maria;7;3;Aesch (Neftenbach)/Riet (Neftenbach)/Hünikon
2022-07-01;8412;w;Verena;7;3;Aesch (Neftenbach)/Riet (Neftenbach)/Hünikon
2022-07-01;8412;m;Daniel;18;1;Aesch (Neftenbach)/Riet (Neftenbach)/Hünikon
2022-07-01;8412;m;Andreas;16;2;Aesch (Neftenbach)/Riet (Neftenbach)/Hünikon
2022-07-01;8412;m;Christian;12;3;Aesch (Neftenbach)/Riet (Neftenbach)/Hünikon
2022-07-01;8413;w;Nicole;38;1;Neftenbach
2022-07-01;8413;m;Peter;63;1;Neftenbach
2022-07-01;8413;m;Daniel;53;2;Neftenbach
2022-07-01;8413;m;Martin;53;2;Neftenbach
2022-07-01;8413;m;Thomas;52;4;Neftenbach
2022-07-01;8413;m;Andreas;45;5;Neftenbach
2022-07-01;8414;w;Marianne;8;3;Buch am Irchel
2022-07-01;8414;m;Michael;14;3;Buch am Irchel
2022-07-01;8414;m;Andreas;13;4;Buch am Irchel
2022-07-01;8415;w;Elisabeth;7;2;Gräslikon/Berg am Irchel
2022-07-01;8415;m;Peter;9;3;Gräslikon/Berg am Irchel
2022-07-01;8415;m;Andreas;9;3;Gräslikon/Berg am Irchel
2022-07-01;8415;m;Daniel;8;5;Gräslikon/Berg am Irchel
2022-07-01;8415;m;Michael;8;5;Gräslikon/Berg am Irchel
2022-07-01;8416;w;Ursula;15;1;Flaach
2022-07-01;8416;w;Monika;12;3;Flaach
2022-07-01;8416;w;Sandra;11;5;Flaach
2022-07-01;8418;w;Claudia;7;1;Schlatt ZH
2022-07-01;8418;w;Verena;6;3;Schlatt ZH
2022-07-01;8418;w;Margrit;6;3;Schlatt ZH
2022-07-01;8421;w;Rahel;7;4;Dättlikon
2022-07-01;8421;w;Ursula;7;4;Dättlikon
2022-07-01;8421;m;Peter;17;2;Dättlikon
2022-07-01;8421;m;Christian;11;3;Dättlikon
2022-07-01;8421;m;Michael;9;5;Dättlikon
2022-07-01;8422;w;Sandra;19;3;Pfungen
2022-07-01;8422;w;Karin;17;5;Pfungen
2022-07-01;8422;m;Martin;41;1;Pfungen
2022-07-01;8424;w;Maria;67;1;Embrach
2022-07-01;8424;m;Peter;89;2;Embrach
2022-07-01;8424;m;Thomas;80;3;Embrach
2022-07-01;8424;m;Martin;75;4;Embrach
2022-07-01;8425;w;Ursula;8;5;Oberembrach
2022-07-01;8425;w;Claudia;8;5;Oberembrach
2022-07-01;8425;w;Esther;8;5;Oberembrach
2022-07-01;8425;m;Thomas;18;1;Oberembrach
2022-07-01;8425;m;Stefan;12;4;Oberembrach
2022-07-01;8425;m;Andreas;12;4;Oberembrach
2022-07-01;8426;w;Karin;14;2;Lufingen
2022-07-01;8426;w;Nicole;14;2;Lufingen
2022-07-01;8426;w;Ursula;14;2;Lufingen
2022-07-01;8426;m;Martin;21;4;Lufingen
2022-07-01;8427;w;Sandra;29;1;Freienstein/Rorbas
2022-07-01;8427;w;Ursula;26;3;Freienstein/Rorbas
2022-07-01;8427;w;Claudia;25;4;Freienstein/Rorbas
2022-07-01;8427;m;Andreas;40;5;Freienstein/Rorbas
2022-07-01;8428;w;n/a;5;4;Teufen ZH
2022-07-01;8442;w;Ruth;27;1;Hettlingen
2022-07-01;8442;w;Karin;23;3;Hettlingen
2022-07-01;8442;w;Esther;23;3;Hettlingen
2022-07-01;8447;w;Monika;17;1;Dachsen
2022-07-01;8447;w;Ruth;14;3;Dachsen
2022-07-01;8450;w;Barbara;18;2;Andelfingen
2022-07-01;8450;w;Ursula;18;2;Andelfingen
2022-07-01;8450;w;Elisabeth;16;4;Andelfingen
2022-07-01;8450;m;Peter;32;1;Andelfingen
2022-07-01;8450;m;Thomas;28;2;Andelfingen
2022-07-01;8450;m;Andreas;27;3;Andelfingen
2022-07-01;8451;w;Daniela;13;2;Kleinandelfingen
2022-07-01;8451;w;Barbara;11;4;Kleinandelfingen
2022-07-01;8451;m;Peter;23;1;Kleinandelfingen
2022-07-01;8451;m;Ernst;14;4;Kleinandelfingen
2022-07-01;8451;m;Daniel;13;5;Kleinandelfingen
2022-07-01;8451;m;Hans;13;5;Kleinandelfingen
2022-07-01;8452;w;n/a;5;4;Adlikon
2022-07-01;8452;m;Walter;9;4;Adlikon
2022-07-01;8453;m;n/a;4;5;Alten
2022-07-01;8454;m;Andreas;11;3;Buchberg
2022-07-01;8454;m;Peter;11;3;Buchberg
2022-07-01;8454;m;Martin;9;5;Buchberg
2022-07-01;8455;m;Hans;15;1;Rüdlingen
2022-07-01;8455;m;Peter;14;2;Rüdlingen
2022-07-01;8457;w;Andrea;6;2;Humlikon
2022-07-01;8457;w;n/a;5;3;Humlikon
2022-07-01;8457;m;n/a;5;3;Humlikon
2022-07-01;8458;w;Ursula;6;3;Dorf
2022-07-01;8459;w;n/a;5;1;Volken
2022-07-01;8459;w;n/a;4;4;Volken
2022-07-01;8460;w;Ruth;22;1;Marthalen
2022-07-01;8460;m;Christian;23;3;Marthalen
2022-07-01;8461;m;Andreas;6;4;Oerlingen
2022-07-01;8462;w;Ursula;10;2;Rheinau
2022-07-01;8462;w;Maria;9;4;Rheinau
2022-07-01;8462;m;Andreas;16;2;Rheinau
2022-07-01;8462;m;Peter;14;5;Rheinau
2022-07-01;8463;m;Stefan;10;4;Benken ZH
2022-07-01;9052;w;Monika;14;2;Niederteufen
2022-07-01;9052;m;Thomas;30;2;Niederteufen
2022-07-01;9052;m;Michael;25;4;Niederteufen
2022-07-01;9052;m;Daniel;23;5;Niederteufen
2022-07-01;9053;w;Ursula;41;1;Teufen AR
2022-07-01;9053;w;Andrea;38;3;Teufen AR
2022-07-01;9053;w;Monika;34;4;Teufen AR
2022-07-01;9053;m;Andreas;46;4;Teufen AR
2022-07-01;9054;w;Livia;7;4;Haslen AI
2022-07-01;9054;w;Daniela;7;4;Haslen AI
2022-07-01;9055;w;Elisabeth;18;1;Bühler
2022-07-01;9055;w;Monika;16;3;Bühler
2022-07-01;9055;m;Andreas;21;1;Bühler
2022-07-01;9055;m;Stefan;21;1;Bühler
2022-07-01;9056;w;Ursula;30;1;Gais
2022-07-01;9056;w;Andrea;30;1;Gais
2022-07-01;9056;w;Monika;27;4;Gais
2022-07-01;9056;w;Elisabeth;24;5;Gais
2022-07-01;9056;w;Anna;24;5;Gais
2022-07-01;9056;m;Peter;47;1;Gais
2022-07-01;9056;m;Hans;45;2;Gais
2022-07-01;9057;w;Manuela;10;4;Wasserauen/Weissbad/Schwende
2022-07-01;9057;m;Bruno;16;3;Wasserauen/Weissbad/Schwende
2022-07-01;9057;m;Martin;16;3;Wasserauen/Weissbad/Schwende
2022-07-01;9057;m;Reto;14;5;Wasserauen/Weissbad/Schwende
2022-07-01;9058;m;Stefan;7;2;Brülisau
2022-07-01;9062;m;Daniel;12;1;Lustmühle
2022-07-01;9062;m;Samuel;6;3;Lustmühle
2022-07-01;9063;w;Ruth;17;1;Stein AR
2022-07-01;9063;w;Marianne;12;5;Stein AR
2022-07-01;9063;m;Hans;17;5;Stein AR
2022-07-01;9064;w;Monika;10;2;Hundwil
2022-07-01;9064;w;Daniela;7;5;Hundwil
2022-07-01;9064;m;Jakob;11;3;Hundwil
2022-07-01;9100;m;Peter;181;1;Herisau
2022-07-01;9100;m;Thomas;146;3;Herisau
2022-07-01;9103;w;Vreni;10;5;Schwellbrunn
2022-07-01;9103;m;Hans;25;2;Schwellbrunn
2022-07-01;9103;m;Ernst;21;5;Schwellbrunn
2022-07-01;9104;w;Monika;20;1;Waldstatt
2022-07-01;9104;m;Thomas;26;3;Waldstatt
2022-07-01;9104;m;Christian;20;5;Waldstatt
2022-07-01;9105;w;Monika;17;1;Schönengrund
2022-07-01;9105;m;Michael;15;5;Schönengrund
2022-07-01;9107;w;Monika;29;1;Urnäsch
2022-07-01;9107;w;Sandra;19;5;Urnäsch
2022-07-01;9108;w;Elisabeth;17;2;Gonten/Gontenbad/Jakobsbad
2022-07-01;9108;w;Lydia;14;3;Gonten/Gontenbad/Jakobsbad
2022-07-01;9108;m;Martin;23;3;Gonten/Gontenbad/Jakobsbad
2022-07-01;9108;m;Albert;23;3;Gonten/Gontenbad/Jakobsbad
2022-07-01;9108;m;Walter;22;5;Gonten/Gontenbad/Jakobsbad
2022-07-01;9112;m;Hans;6;1;Schachen b.Herisau
2022-07-01;9113;w;Maria;42;1;Degersheim
2022-07-01;9113;w;Monika;42;1;Degersheim
2022-07-01;9113;w;Claudia;35;3;Degersheim
2022-07-01;9113;w;Sandra;29;5;Degersheim
2022-07-01;9113;m;Peter;50;1;Degersheim
2022-07-01;9113;m;Daniel;43;2;Degersheim
2022-07-01;9114;m;Martin;8;1;Hoffeld
2022-07-01;9114;m;n/a;4;4;Hoffeld
2022-07-01;9115;w;n/a;4;4;Dicken
2022-07-01;9115;m;Hans;6;1;Dicken
2022-07-01;9116;m;Markus;7;2;Wolfertswil
2022-07-01;9116;m;Andreas;6;5;Wolfertswil
2022-07-01;9116;m;Stefan;6;5;Wolfertswil
2022-07-01;9122;m;Hans;14;2;Ebersol/Mogelsberg
2022-07-01;9122;m;Andreas;12;4;Ebersol/Mogelsberg
2022-07-01;9123;m;Ruedi;9;2;Nassen
2022-07-01;9125;w;Heidi;11;3;Brunnadern
2022-07-01;9125;w;Monika;9;4;Brunnadern
2022-07-01;9125;m;Hans;18;1;Brunnadern
2022-07-01;9126;w;n/a;4;2;Necker
2022-07-01;9126;m;Christian;8;1;Necker
2022-07-01;9127;w;Erika;7;2;St. Peterzell
2022-07-01;9127;w;Monika;6;4;St. Peterzell
2022-07-01;9127;w;Claudia;6;4;St. Peterzell
2022-07-01;9127;m;Jakob;11;1;St. Peterzell
2022-07-01;9127;m;Thomas;10;3;St. Peterzell
2022-07-01;9127;m;Christian;9;4;St. Peterzell
2022-07-01;9200;w;Ruth;93;3;Gossau SG
2022-07-01;9200;w;Ursula;92;4;Gossau SG
2022-07-01;9200;m;Thomas;136;3;Gossau SG
2022-07-01;9200;m;Peter;132;4;Gossau SG
2022-07-01;9203;w;Claudia;15;1;Niederwil SG
2022-07-01;9203;w;Monika;14;3;Niederwil SG
2022-07-01;9203;m;Thomas;19;2;Niederwil SG
2022-07-01;9204;w;Andrea;14;4;Andwil SG
2022-07-01;9204;m;Andreas;28;1;Andwil SG
2022-07-01;9204;m;Markus;23;2;Andwil SG
2022-07-01;9204;m;Christian;21;4;Andwil SG
2022-07-01;9205;w;Claudia;27;2;Waldkirch
2022-07-01;9212;w;Claudia;23;1;Arnegg
2022-07-01;9212;w;Monika;18;2;Arnegg
2022-07-01;9212;w;Nicole;13;4;Arnegg
2022-07-01;9212;m;Michael;22;1;Arnegg
2022-07-01;9212;m;Roman;20;2;Arnegg
2022-07-01;9212;m;Peter;20;2;Arnegg
2022-07-01;9212;m;Marco;18;5;Arnegg
2022-07-01;9213;w;Ruth;11;2;Hauptwil
2022-07-01;9213;w;Beatrice;9;5;Hauptwil
2022-07-01;9213;m;Markus;17;3;Hauptwil
2022-07-01;9214;w;Ursula;10;1;Kradolf
2022-07-01;9214;w;Susanne;8;3;Kradolf
2022-07-01;9214;m;Markus;17;2;Kradolf
2022-07-01;9214;m;Roland;13;5;Kradolf
2022-07-01;9216;m;Stefan;11;2;Heldswil/Hohentannen
2022-07-01;9216;m;Marco;9;4;Heldswil/Hohentannen
2022-07-01;9217;w;Nicole;6;1;Neukirch a.d. Thur
2022-07-01;9217;m;Stefan;8;2;Neukirch a.d. Thur
2022-07-01;9217;m;Michael;7;3;Neukirch a.d. Thur
2022-07-01;9220;w;Maria;49;1;Bischofszell
2022-07-01;9220;m;Peter;67;1;Bischofszell
2022-07-01;9220;m;Thomas;64;2;Bischofszell
2022-07-01;9220;m;Daniel;63;3;Bischofszell
2022-07-01;9223;w;Ruth;7;1;Halden/Schweizersholz
2022-07-01;9223;m;Marcel;10;2;Halden/Schweizersholz
2022-07-01;9223;m;Walter;7;5;Halden/Schweizersholz
2022-07-01;9223;m;Kurt;7;5;Halden/Schweizersholz
2022-07-01;9225;m;Daniel;15;1;Wilen (Gottshaus)/St. Pelagiberg
2022-07-01;9225;m;Markus;7;5;Wilen (Gottshaus)/St. Pelagiberg
2022-07-01;9225;m;Peter;7;5;Wilen (Gottshaus)/St. Pelagiberg
2022-07-01;9230;w;Sandra;58;4;Flawil
2022-07-01;9230;w;Elisabeth;54;5;Flawil
2022-07-01;9230;m;Daniel;99;2;Flawil
2022-07-01;9230;m;Thomas;86;3;Flawil
2022-07-01;9230;m;Markus;85;4;Flawil
2022-07-01;9230;m;Andreas;77;5;Flawil
2022-07-01;9231;m;n/a;5;3;Egg (Flawil)
2022-07-01;9240;w;Monika;30;2;Niederglatt SG/Uzwil
2022-07-01;9240;w;Andrea;30;2;Niederglatt SG/Uzwil
2022-07-01;9240;w;Sandra;28;5;Niederglatt SG/Uzwil
2022-07-01;9240;m;Daniel;47;3;Niederglatt SG/Uzwil
2022-07-01;9240;m;Markus;41;4;Niederglatt SG/Uzwil
2022-07-01;9242;w;Ursula;31;3;Oberuzwil
2022-07-01;9242;w;Ruth;30;4;Oberuzwil
2022-07-01;9243;w;Sandra;11;4;Jonschwil
2022-07-01;9243;m;Martin;15;4;Jonschwil
2022-07-01;9243;m;Daniel;15;4;Jonschwil
2022-07-01;9244;w;Maria;43;1;Niederuzwil
2022-07-01;9244;m;Peter;42;1;Niederuzwil
2022-07-01;9244;m;Hans;41;2;Niederuzwil
2022-07-01;9244;m;Thomas;38;4;Niederuzwil
2022-07-01;9245;w;Nicole;22;1;Sonnental/Oberbüren
2022-07-01;9245;w;Monika;21;2;Sonnental/Oberbüren
2022-07-01;9245;m;Marco;35;1;Sonnental/Oberbüren
2022-07-01;9246;m;Markus;22;1;Niederbüren
2022-07-01;9246;m;Josef;14;5;Niederbüren
2022-07-01;9247;w;Claudia;18;1;Henau
2022-07-01;9247;w;Monika;15;2;Henau
2022-07-01;9247;m;Marcel;23;1;Henau
2022-07-01;9247;m;Thomas;15;5;Henau
2022-07-01;9248;w;Andrea;10;3;Bichwil
2022-07-01;9249;w;Sandra;8;2;Algetshausen/Niederstetten/Oberstetten
2022-07-01;9249;w;Elisabeth;7;3;Algetshausen/Niederstetten/Oberstetten
2022-07-01;9249;m;Markus;10;4;Algetshausen/Niederstetten/Oberstetten
2022-07-01;9300;w;Ursula;62;2;Wittenbach
2022-07-01;9300;w;Claudia;62;2;Wittenbach
2022-07-01;9300;m;Daniel;99;1;Wittenbach
2022-07-01;9300;m;Peter;94;2;Wittenbach
2022-07-01;9300;m;Michael;69;5;Wittenbach
2022-07-01;9304;w;Karin;12;1;Bernhardzell
2022-07-01;9304;w;Monika;9;4;Bernhardzell
2022-07-01;9304;m;Andreas;12;3;Bernhardzell
2022-07-01;9304;m;Bruno;10;5;Bernhardzell
2022-07-01;9305;w;Sandra;10;2;Berg SG
2022-07-01;9305;w;Nicole;9;4;Berg SG
2022-07-01;9305;m;Michael;14;2;Berg SG
2022-07-01;9305;m;Daniel;9;4;Berg SG
2022-07-01;9306;w;Andrea;12;3;Freidorf TG
2022-07-01;9306;w;Tamara;11;5;Freidorf TG
2022-07-01;9306;m;Andreas;24;2;Freidorf TG
2022-07-01;9306;m;Peter;20;3;Freidorf TG
2022-07-01;9306;m;Thomas;15;5;Freidorf TG
2022-07-01;9308;w;Andrea;9;1;Lömmenschwil
2022-07-01;9308;w;n/a;5;4;Lömmenschwil
2022-07-01;9308;m;Lukas;11;2;Lömmenschwil
2022-07-01;9312;w;Nicole;8;2;Häggenschwil
2022-07-01;9312;w;Monika;8;2;Häggenschwil
2022-07-01;9312;m;Thomas;13;2;Häggenschwil
2022-07-01;9312;m;Hans;9;5;Häggenschwil
2022-07-01;9313;w;Karin;10;2;Muolen
2022-07-01;9313;w;Susanne;8;4;Muolen
2022-07-01;9313;m;Markus;14;1;Muolen
2022-07-01;9313;m;Marco;10;4;Muolen
2022-07-01;9313;m;Patrick;10;4;Muolen
2022-07-01;9314;m;Andreas;10;1;Steinebrunn
2022-07-01;9315;w;Sandra;20;1;Winden/Neukirch (Egnach)
2022-07-01;9320;w;Sandra;104;3;Stachen/Frasnacht/Arbon
2022-07-01;9320;w;Andrea;101;4;Stachen/Frasnacht/Arbon
2022-07-01;9320;m;Markus;134;3;Stachen/Frasnacht/Arbon
2022-07-01;9322;w;Ursula;17;2;Egnach
2022-07-01;9322;m;Daniel;27;2;Egnach
2022-07-01;9323;w;Maria;32;1;Steinach
2022-07-01;9323;w;Sandra;27;2;Steinach
2022-07-01;9323;w;Elisabeth;23;5;Steinach
2022-07-01;9323;w;Claudia;23;5;Steinach
2022-07-01;9323;m;Andreas;35;1;Steinach
2022-07-01;9323;m;Daniel;30;3;Steinach
2022-07-01;9325;w;Heidi;14;3;Roggwil TG
2022-07-01;9325;w;Brigitte;14;3;Roggwil TG
2022-07-01;9325;m;Andreas;25;1;Roggwil TG
2022-07-01;9325;m;Daniel;22;2;Roggwil TG
2022-07-01;9325;m;Michael;17;4;Roggwil TG
2022-07-01;9326;m;Daniel;37;2;Horn
2022-07-01;9326;m;Andreas;35;3;Horn
2022-07-01;9326;m;Stefan;26;5;Horn
2022-07-01;9327;w;Claudia;13;1;Tübach
2022-07-01;9327;w;Doris;12;3;Tübach
2022-07-01;9327;w;Tamara;10;4;Tübach
2022-07-01;9327;w;Nadine;10;4;Tübach
2022-07-01;9327;m;Michael;22;2;Tübach
2022-07-01;9327;m;Peter;20;4;Tübach
2022-07-01;9327;m;Rolf;16;5;Tübach
2022-07-01;9400;w;Anna;50;3;Rorschach
2022-07-01;9400;w;Elisabeth;43;5;Rorschach
2022-07-01;9400;m;Peter;94;1;Rorschach
2022-07-01;9400;m;Martin;61;3;Rorschach
2022-07-01;9400;m;Hans;56;5;Rorschach
2022-07-01;9402;w;Maria;26;2;Mörschwil
2022-07-01;9402;m;Andreas;44;3;Mörschwil
2022-07-01;9402;m;Peter;38;4;Mörschwil
2022-07-01;9402;m;Marco;36;5;Mörschwil
2022-07-01;9403;w;Maria;83;1;Goldach
2022-07-01;9403;m;Hans;67;5;Goldach
2022-07-01;9403;m;Marco;67;5;Goldach
2022-07-01;9405;w;n/a;4;2;Wienacht-Tobel
2022-07-01;9405;m;Peter;9;1;Wienacht-Tobel
2022-07-01;9410;w;Elisabeth;35;3;Heiden
2022-07-01;9410;m;Andreas;43;4;Heiden
2022-07-01;9410;m;Thomas;39;5;Heiden
2022-07-01;9411;w;Karin;8;1;Reute AR/Schachen b. Reute
2022-07-01;9411;w;Monika;8;1;Reute AR/Schachen b. Reute
2022-07-01;9411;m;Kurt;11;3;Reute AR/Schachen b. Reute
2022-07-01;9411;m;Bruno;10;5;Reute AR/Schachen b. Reute
2022-07-01;9413;w;Margrit;18;1;Oberegg
2022-07-01;9413;w;Silvia;14;5;Oberegg
2022-07-01;9413;m;Andreas;25;2;Oberegg
2022-07-01;9413;m;Daniel;24;5;Oberegg
2022-07-01;9422;w;Brigitte;18;4;Staad SG
2022-07-01;9422;m;Michael;35;2;Staad SG
2022-07-01;9423;w;Andrea;8;2;Altenrhein
2022-07-01;9423;w;Jasmin;8;2;Altenrhein
2022-07-01;9423;m;Thomas;13;2;Altenrhein
2022-07-01;9423;m;Roland;13;2;Altenrhein
2022-07-01;9423;m;Daniel;11;5;Altenrhein
2022-07-01;9425;w;Silvia;25;2;Thal
2022-07-01;9425;w;Heidi;23;5;Thal
2022-07-01;9425;m;Stefan;37;3;Thal
2022-07-01;9426;w;Andrea;8;3;Lutzenberg
2022-07-01;9426;m;Thomas;18;1;Lutzenberg
2022-07-01;9426;m;Peter;17;2;Lutzenberg
2022-07-01;9426;m;Markus;12;4;Lutzenberg
